model,terrain,offset,hp,resources,mean_perp_dist,mean_signed_perp,max_perp_dist,path_length,path_ratio,reached,steps,normalized_attraction,mountain_steps
rnn_250k,mountain,baseline,100,20,0.0,0.0,0.0,51.0,1.02,1.0,51.0,0.0,0.0
rnn_250k,mountain,2,100,20,1.3855421686746987,1.3855421686746987,2.0,55.0,1.1,1.0,82.0,-0.6927710843373494,2.0
rnn_250k,mountain,4,100,20,1.6666666666666667,1.6666666666666667,4.0,59.0,1.18,0.0,59.0,-0.4166666666666667,7.0
rnn_250k,mountain,8,100,20,1.7904761904761906,1.7904761904761906,8.0,67.0,1.34,1.0,104.0,-0.22380952380952382,14.0
rnn_250k,mountain,16,100,20,2.5961538461538463,2.5961538461538463,5.0,51.0,1.02,0.0,51.0,-0.1622596153846154,18.0
rnn_250k,mountain,32,100,20,3.2222222222222223,3.2222222222222223,6.0,53.0,1.06,0.0,53.0,-0.10069444444444445,16.0
rnn_250k,mountain,baseline,100,0,0.0,0.0,0.0,49.0,0.98,0.0,49.0,0.0,0.0
rnn_250k,mountain,2,100,0,1.4395604395604396,1.4395604395604396,2.0,55.0,1.1,1.0,90.0,-0.7197802197802198,2.0
rnn_250k,mountain,4,100,0,1.4090909090909092,1.4090909090909092,4.0,43.0,0.86,0.0,43.0,-0.3522727272727273,6.0
rnn_250k,mountain,8,100,0,0.125,0.125,1.0,39.0,0.78,0.0,39.0,-0.015625,10.0
rnn_250k,mountain,16,100,0,1.2926829268292683,1.2926829268292683,3.0,40.0,0.8,0.0,40.0,-0.08079268292682927,9.0
rnn_250k,mountain,32,100,0,1.3170731707317074,1.3170731707317074,3.0,40.0,0.8,0.0,40.0,-0.041158536585365856,8.0
rnn_250k,mountain,baseline,80,0,0.0,0.0,0.0,39.0,0.78,0.0,39.0,0.0,0.0
rnn_250k,mountain,2,80,0,0.5588235294117647,0.5588235294117647,2.0,33.0,0.66,0.0,33.0,-0.27941176470588236,3.0
rnn_250k,mountain,4,80,0,0.25,0.0625,2.0,31.0,0.62,0.0,31.0,-0.015625,8.0
rnn_250k,mountain,8,80,0,0.18181818181818182,0.18181818181818182,1.0,32.0,0.64,0.0,32.0,-0.022727272727272728,6.0
rnn_250k,mountain,16,80,0,0.0,0.0,0.0,33.0,0.66,0.0,33.0,-0.0,6.0
rnn_250k,mountain,32,80,0,0.0,0.0,0.0,33.0,0.66,0.0,33.0,-0.0,6.0
